T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-C8-A131-01	1.32166368850282	1.51058742504515	1.26256564666841	0.575525818197979	0.300188779712657	3.14827877860567	1.68624072211395	2.02441322342501	2.82236939000782	7.75964717634615	High
TCGA-C8-A1HJ-01	1.44611686604907	2.63185427422929	1.15467970235485	1.29202892178081	0.338151046909827	2.30896832654703	1.35632798715193	1.30180427543122	2.91296308349586	5.29442856035348	Low
TCGA-C8-A26X-01	2.06401005904665	3.12473069043907	1.82866933584248	2.301053905525	0.728449443376534	4.14132590268695	2.58101991235132	1.73056718632267	3.2797417876178	6.8040072441328	High
TCGA-C8-A27B-01	2.240546718152	5.4315674387893	1.94159941490229	1.32740497862941	0.480423840026153	5.17180751409202	4.11909313640383	2.11270069945439	2.46862463157431	5.31806082130933	Low
TCGA-C8-A3M7-01	1.9134561788038	1.98781849499944	1.38717913709705	1.40438843551573	0.532234374859351	2.75652416693513	2.46858899843676	2.20287447136987	4.6407847421508	7.16949003882276	Low
TCGA-D8-A13Z-01	2.28109909319432	2.32797694707049	1.45595593465323	2.04415907523246	0.414824535045498	4.26135928592777	2.49234055374714	1.85931539609504	3.36542394295511	7.897286938075	High
TCGA-D8-A143-01	1.96987955254783	2.91236374338854	1.238703997207	2.38779426486977	0.358958445009569	3.15360841787219	2.18769947774506	1.51371887151033	3.14338605073731	6.35170186701954	High
TCGA-D8-A147-01	2.79516637644137	2.62853150385355	2.28303070173962	1.33552489939811	0.400891464723377	4.4041684809477	2.40759898991989	1.58947579928003	2.25592455512608	7.01649493246923	Low
TCGA-D8-A1JF-01	1.46535177114752	1.75818126137124	1.03532979552078	1.60827676364513	0.157378795667479	3.80777410790267	1.65705822316028	1.95361491075796	2.41119008740464	7.16734122113885	High
TCGA-D8-A1JL-01	3.20900087078856	3.55986790859785	2.54232889822422	1.48116997773952	0.925220607640641	5.10626661619597	1.97366122759941	1.83095188034187	3.45705751331808	7.60067052669131	Low
TCGA-D8-A1XK-01	1.90120968186074	2.38838920434783	1.99576972757621	0.797762070736854	0.494104267723001	4.24899094081658	2.40897546474913	1.90564244237912	2.29961294909313	5.91980690162286	High
TCGA-D8-A1XQ-01	2.43798885086115	2.37320033340595	1.52447647516425	2.00340745909848	0.406491554670461	4.63757323927148	2.08968936475388	1.33544402406547	2.58306140390693	7.10977812073767	High
TCGA-D8-A27F-01	0.97571942647073	0.63118311567538	1.38634227213382	0.888390677433585	0.370360141835814	3.92054053183506	2.83874762657821	2.15938400492338	3.18848042063085	7.90052567723803	Low
