p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
0.298778355498626	1.22799485141162	0.833577242686611	1.80903613711104	0.205382637054617	C2CD4B	None
0.00384711670490358	1.94735561572916	1.23929955074782	3.05994938174844	0.666472357749518	JUNB	Risk
0.0566822555818518	1.53721101850056	0.987843595551149	2.39209701418484	0.429969747585905	CPXM1	None
0.151382392675537	1.292393620853	0.910359948123979	1.83474819456145	0.256496019063886	SPON1	None
0.320599096379171	1.25100631481367	0.804145379119039	1.94618639905411	0.223948279284722	ADAM12	None
0.135318636172808	1.40195405824159	0.899838704202623	2.18425276912459	0.33786701934624	RAMP3	None
0.449089110099069	1.1795031975759	0.769210866292959	1.80864292751933	0.165093330820717	AKAP12	None
0.391383682918042	1.1863360674844	0.80263139440529	1.75347397924442	0.170869622564565	SFRP2	None
7.66208614931339e-05	1.86406085840118	1.36905252458239	2.53804936000047	0.622757365087279	MMP28	Risk
0.191894926293845	1.36376020832968	0.855806628529376	2.17320343617736	0.310245743621765	COL6A3	None
0.05699653217153	1.36787128324954	0.990723560268573	1.88859125045085	0.313255723581648	CLDN5	None
0.401286030288213	1.19056426709778	0.792241624530955	1.78915526551545	0.174427368770205	SEMA3G	None
0.557986340747875	1.13456057914284	0.743698186362726	1.73084690987415	0.126245421029312	IL6	None
0.435379652499123	1.17921278181015	0.779294457693349	1.78436118858119	0.164847081785432	MFAP5	None
0.0761209921609875	1.47033614551864	0.960314920693059	2.25122856495697	0.38549104507039	MXRA8	None
0.0337565699326891	1.54471551402105	1.03395104859574	2.30779399324373	0.434839760075377	GPX3	Risk
0.255110490702408	1.19434768639667	0.87961402509427	1.62169582942723	0.177600167218557	CD36	None
0.22449990898604	1.330780624755	0.83916556930142	2.11040244739496	0.285765705960165	CDKN1A	None
0.042174836562992	1.72300258283777	1.01941979015142	2.91218390024062	0.544068456579941	CLEC11A	Risk
0.250614462831627	1.28080787364258	0.8396826671019	1.95367711333948	0.247491030122589	TIMP3	None
0.204137765932018	1.41021345296128	0.829601738262146	2.39717673094432	0.343741078011435	AEBP1	None
0.647403501016951	1.10676172622723	0.716589179479448	1.70937763745094	0.101438387764618	FGF7	None
0.299522551646514	1.17759863375399	0.864707639102281	1.60370798118419	0.163477308796483	CAMK2N1	None
0.10744754302092	1.42113025977559	0.926394287719365	2.1800773623311	0.351452512595363	SORCS2	None
0.878079770055125	0.975482887960357	0.710370057947768	1.33953684288513	-0.0248226608869186	F2RL2	None
0.386072370968588	1.19084004488842	0.802287489394107	1.76757089105404	0.174658978153361	TGM2	None
0.512558691817805	1.14950848189724	0.757533493821153	1.74430538151977	0.139334443964859	SULF1	None
0.535164252177839	1.1056833298844	0.804887885196891	1.5188893366002	0.100463541925838	HSPB8	None
0.0731805512453125	1.45677241221019	0.965285293564598	2.1985063639993	0.376223311999198	CAV1	None
0.337026964527179	1.25849418449596	0.787053011799455	2.01232647441252	0.229915914601992	COL5A2	None
0.371886190645967	1.25460230274436	0.762589777300963	2.06405460039396	0.226818632119888	NID2	None
0.229704831382824	1.30741926383713	0.844211566073849	2.02478288635871	0.268055166551096	CDH11	None
0.530119224776891	1.14229374391821	0.754058355521957	1.73041646954695	0.13303829700129	HAS1	None
0.53479256755249	1.1108720683967	0.79702833626716	1.54829721377724	0.105145354069257	ENPP2	None
0.242014306441358	1.23748591553645	0.865992249160835	1.76834306846858	0.213081834011251	GEM	None
0.00144142754757647	1.85339961063068	1.26803553259184	2.7089856935355	0.61702158008663	LFNG	Risk
0.316303035671733	1.19185480273074	0.845549460506756	1.67999382311826	0.175510751434095	PDK4	None
0.306675462377055	1.21996982270463	0.833272852873973	1.786121272494	0.198826122951229	POSTN	None
0.111627208960485	1.38066721895134	0.927905786330273	2.05434861768212	0.322566874318247	CLEC10A	None
0.101151698135993	1.29769820360198	0.950302121590468	1.77208972743675	0.260592082466326	ADAMTS15	None
0.255607275676516	1.23148140938635	0.86005340407864	1.76331662019155	0.208217842554115	FHL1	None
0.081926411404031	1.40507669694502	0.957837082617518	2.06114438470354	0.340091889868774	FBXL7	None
0.233710431135342	1.3383940541411	0.828411773238936	2.16232881041347	0.291470428167985	ADAMTS2	None
0.00101047209404628	2.09673907056892	1.348495184974	3.26016346149205	0.740383314310753	COL5A3	Risk
0.0295661775384542	1.41241810357487	1.03485494793415	1.9277338367937	0.345303202587565	G0S2	Risk
0.5399660508137	1.12953152086439	0.765116127959591	1.66751347933109	0.121802963454982	PREX1	None
0.503041509556054	1.10378590546629	0.826759126314384	1.47363758841985	0.0987460028407104	OGN	None
0.467039052433459	1.1450770525451	0.794849934872433	1.64962139233969	0.135471929541223	TBC1D9	None
0.278292330480032	1.12812193186862	0.907206487805328	1.40283288343952	0.120554242862165	CXCL14	None
0.365516218886263	1.1895959406149	0.816749849394033	1.7326461743181	0.173613703762982	DPP4	None
0.00815857825154246	1.67658976006505	1.14327925902198	2.45867595460413	0.516761825643053	CCN5	Risk
0.298103629764451	1.1550082513258	0.88043256757789	1.51521435003331	0.144107487953262	PI16	None
